TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	0.6166977341876305	0.7395129662493729	0	True
1.5	2	0	3.6603959349958317	0.2604870337506271	0	True
2.0	3	1	7.38330226581237	0.7395129662493729	0	False
2.0	4	2	4.339604065004169	0.03961505265803991	0	False
2.0	5	2	4.339604065004169	0.22087198109258718	0	True
3.0	6	3	7	0.32720050997815925	1	False
3.0	7	3	7	0.4123124562712137	1	True
3.0	8	5	7	0.11030555506920509	1	False
3.0	9	5	7	0.11056642602338211	1	True
3.0	10	4	7	0.011326581294882782	1	False
3.0	11	4	7	0.028288471363157132	1	True
