0	1	-1	subclone		
1	2	13	subclone	0,1,2,3,4,5,6	5
2	2	13	subclone	0,1,2,3,4,5,6,17,18,19,20,21,22,23,24	13,13
3	2	15	subclone	7,8,9,10,11,12,13,14,15,16,25,26,27,28,29	12
4	2	14	subclone	7,8,9,10,11,12,13,14,15,16,22,23,26,27,30	13,12
5	2	13	subclone	0,1,7,8,9,10,11,12,13,14,15,16,18,21,26,28,29,30	16,15
6	2	15	subclone	8,12,15,25,27	2
7	2	15	subclone	7,8,9,10,11,12,13,14,15,16,30	8
8	3	1	subclone	0,1,2,3,4,5,6	0
9	3	3	subclone	7,8,9,10,11,12,13,14,15,16,25,26,27,28,29	0
10	3	1	subclone	0,3,5,10,16,17,18,24,25,29	7
11	3	7	subclone	0,2,5,7,8,9,10,11,12,13,14,15,16,30	3
12	3	7	subclone	7,8,9,10,11,12,13,14,15,16,30	0
13	1.5	0	unobserved subclone	0,1	2
14	1.5	0	unobserved subclone	22,23	2
15	1.5	0	unobserved subclone	8,12,15	3
