0	1	-1	subclone		
1	2	9	subclone	0,1,2,3	0
2	2	9	subclone	0,1,2,3,16,17,18,19,20,21,22,23	8
3	2	10	subclone	4,5,6,7,8,9,10,11,12,13,14,15,24,25,26	3
4	2	10	subclone	4,5,6,7,8,9,10,11,12,13,14,15,27,28,29	3
5	3	1	subclone	0,1,2,3	0
6	3	1	subclone	0,1,2,3,30,31,32,33,34,35,36,37,38,39,40,41,42,43	14
7	3	4	subclone	6,7,9,10,11,12,13,14,15,27,28,29,36,40	2
8	3	4	subclone	4,5,6,7,8,9,10,11,12,13,14,15,27,28,29	0
9	1.5	0	unobserved subclone	0,1,2,3	4
10	1.5	0	unobserved subclone	4,5,6,7,8,9,10,11,12,13,14,15	12
